cpg index	Gene Symbol
cg04305134	ANXA7
cg04305913	GPSM1
cg04310489	AHCYL1
cg04310824	SCP2
cg04311606	ZNF136
cg04311964	LYPD2
cg04312209	IL7R
cg04313552	KIAA2013
cg04314463	PNKP
cg04315264	RPL10A
cg04315771	IL4I1
cg04316754	MMP24
cg04316770	RUTBC3
cg04317031	FAM73B
cg04317366	PRPF8
cg04317399	HOXA4
cg04317543	LMNA
cg04319097	ZFP161
cg04322344	MRPL3
cg04322978	ETFB
cg04323187	CCDC24
cg04323365	GJB1
cg04324308	COL4A3
cg04326040	VPS53
cg04329069	AP1B1
cg04329382	FLJ27365
cg04329454	FLJ43752
cg04330084	FLJ35834
cg04333463	ASPH
cg04335339	ATRNL1
cg04337944	FBLN1
cg04338788	SEMA3G
cg04339860	WWP2
cg04340502	GSTA3
cg04341806	LCP1
cg04345475	FXC1
cg04345908	HLA-DQB2
cg04347447	CACNA2D2
cg04348872	ADCY3
cg04349311	TXNDC12
cg04349727	KLK5
cg04350610	BTAF1
cg04350646	PSMA2
cg04351979	CTXN1
cg04353483	CCKAR
cg04353769	MS4A6A
cg04355435	TMEM125
cg04356968	BGLAP
cg04361527	PMVK
cg04362655	GLRX5
cg04365980	CLEC3A
cg04366367	GPS1
cg04367351	PLA2R1
cg04368716	C14orf153
cg04368877	FBXL19
cg04369341	C20orf100
cg04371779	C14orf118
cg04375036	PPP1CC
cg04375683	PPP2R1A
cg04376312	MYLK
cg04376617	ATP5A1
cg04377282	NODAL
cg04378886	RCN3
cg04380513	ST8SIA4
cg04380669	NME1
cg04382920	SLC25A31
cg04383012	PSMD1
cg04383274	C21orf55
cg04384208	FCGR3A
cg04384398	PMM1
cg04385519	ADCY9
cg04386405	ZNF83
cg04387658	CD86
cg04388983	P2RY2
cg04389838	ZNF501
cg04391111	TP73
cg04391540	ZNF541
cg04391736	NIP7
cg04393897	BAT2D1
cg04396791	SHANK2
cg04398275	SBNO1
cg04398282	BRDG1
cg04398978	CBX4
cg04400030	SNX1
cg04401436	FLJ90709
cg04402021	POLR2E
cg04402875	RET
cg04404982	ITGAL
cg04409427	KCNE2
cg04409945	PSMB3
cg04410834	ABCG4
cg04410862	E2F7
cg04411625	CRIP1
cg04413148	CTRL
cg04413397	NMNAT1
cg04413986	NACA
cg04415689	TMEM16G
cg04416752	ST6GALNAC4
cg04418492	CYP7B1
cg04418752	PAICS
cg04418771	COPS4
cg04419707	RPL3
cg04420907	WDRPUH
cg04424621	HIST1H2BJ
cg04425624	TNF
cg04428453	FLJ20581
cg04428853	TMEM110
cg04429140	AARSD1
cg04430204	RNF25
cg04431133	RPL36AL
cg04432009	LYL1
cg04433306	UBE2H
cg04434339	ST6GAL2
cg04435377	FLJ31568
cg04436474	RBM6
cg04438497	MTL5
cg04439215	KCTD4
cg04443324	FAT2
cg04444006	ZNF289
cg04444771	C10orf10
cg04446579	ANKRD45
cg04447123	RHOBTB2
cg04447890	GPR177
cg04448487	GDAP1L1
cg04450876	FAM112B
cg04451988	C10orf38
cg04452095	40065
cg04452713	DST
cg04453065	CYR61
cg04454050	TREML1
cg04454259	CBR3
cg04454391	NDUFAB1
cg04454951	UNQ739
cg04455064	TUFM
cg04455759	SDHD
cg04456238	WT1
cg04457051	SCOC
cg04457481	GNAS
cg04457794	CTSE
cg04457979	KCNQ1DN
cg04458139	OTUD6B
cg04458548	FETUB
cg04459030	GHRH
cg04460372	ST6GALNAC6
cg04461705	PFN4
cg04461802	GPR126
cg04462209	KLHL12
cg04463638	CLDN5
cg04464446	GAL
cg04464465	CDK2AP1
cg04464559	PDSS2
cg04466253	ACBD5
cg04466273	TBK1
cg04467034	ANKRD10
cg04469303	PRDM15
cg04471507	STMN1
cg04473030	MGMT
cg04474832	ABHD14A
cg04478795	SMO
cg04480914	PPP2R5B
cg04481779	IL20RA
cg04482110	TMEM106A
cg04483623	C22orf19
cg04484789	KRT25B
cg04485075	NOC2L
cg04485603	CLOCK
cg04486568	ETS2
cg04488521	ZNF354C
cg04488758	USP44
cg04490516	GBL
cg04490714	SLC6A2
cg04491089	MBTPS1
cg04491443	PDILT
cg04495969	FBXO11
cg04496615	PPP3R1
cg04497885	GSK3A
cg04498032	CLK2
cg04498511	ZC3H11A
cg04498679	C2
cg04498739	PDK4
cg04499325	EPDR1
cg04502814	SEPP1
cg04504095	FOXC1
cg04505023	SPRR1A
cg04506546	SLC35C2
cg04506628	SNRPC
cg04508286	 
cg04508649	ANGPTL7
cg04510262	PTPN2
cg04511195	FZR1
cg04511534	GGT6
cg04513422	LOC283487
cg04513669	SH3GLB1
cg04513728	PPP1R10
cg04514469	C14orf49
cg04514981	C18orf37
cg04515001	DCDC2
cg04515567	FOXH1
cg04517429	DCHS2
cg04518106	RPL26
cg04518155	FLJ20534
cg04518808	PRKCG
cg04523589	CAMP
cg04525496	CSPG2
cg04527363	GRM7
cg04527918	UCN
cg04527989	PTCD2
cg04528819	KLF14
cg04529955	C4orf13
cg04531254	MGC17839
cg04532229	SLC9A2
cg04532952	CA4
cg04533291	WDR39
cg04534765	GALR1
cg04536575	C14orf50
cg04536922	FAM13A1
cg04536998	FLJ11305
cg04541078	ARCN1
cg04541293	PTPRT
cg04541607	CRYBB1
cg04542415	ZFP64
cg04543012	TFCP2
cg04544154	ELF4
cg04545159	FIGF
cg04548841	CNIH4
cg04549333	ALX4
cg04551655	FLJ13646
cg04553232	KAL1
cg04553559	ZNF703
cg04555771	CACNA2D2
cg04555836	MYO6
cg04556854	FLJ35630
cg04558553	UGT2B7
cg04558861	F25965
cg04561804	TLOC1
cg04562739	PCNA
cg04563996	SPATA12
cg04564030	CDH7
cg04564646	MOV10
cg04565661	SEMA5B
cg04567315	CLUL1
cg04569233	CX3CR1
cg04569804	CSF1R
cg04570669	APIN
cg04572898	ISG20L1
cg04574442	ALG8
cg04574507	CD1B
cg04575343	SLC2A13
cg04576021	HLA-DOB
cg04576203	AUP1
cg04576855	SERTAD2
cg04581377	SLC35F2
cg04582295	SGCA
cg04582843	VAV2
cg04582938	UAP1L1
cg04585992	TRAPPC6B
cg04586023	HDAC10
cg04586563	DIP2C
cg04587829	FN3K
cg04587910	XLF
cg04588079	HEBP1
cg04589975	FLJ20558
cg04590931	PHF15
cg04590978	CCNJ
cg04592706	ABCA4
cg04595021	C21orf86
cg04595372	CRISP2
cg04595835	WDFY3
cg04597449	GPR150
cg04598121	PENK
cg04598744	LMBRD1
cg04599297	GAD2
cg04600406	UQCR
cg04601137	ADAMTSL5
cg04603031	CHRNA3
cg04603184	RNF182
cg04605667	SIAH2
cg04609640	VMD2L2
cg04609859	HOXB4
cg04613791	FKBP1A
cg04614380	SEMA3F
cg04616566	THSD4
cg04618528	KRTHA6
cg04618607	SQLE
cg04619381	LOC222171
cg04619859	MGC5242
cg04621255	ENDOG
cg04622802	LOC387758
cg04623168	C12orf30
cg04623837	HCG9
cg04623955	DIO3
cg04626574	LOC402055
cg04628008	ZBTB16
cg04629204	EXTL1
cg04631202	MAN1C1
cg04632683	TFPT
cg04633384	C18orf1
cg04633513	AVPR1B
cg04636557	C1orf124
cg04637372	FLJ32784
cg04640886	C19orf30
cg04640913	CDH22
cg04644624	TBC1D10A
cg04645049	ARL6IP5
cg04645174	OR7A17
cg04645342	NEGR1
cg04648087	TSC1
cg04648440	BRD3
cg04650786	OSTM1
cg04653021	DIRC2
cg04653308	PPP2R4
cg04655481	GPR21
cg04658354	BRCA1
cg04659622	PNPLA4
cg04660234	WDR32
cg04660410	VILL
cg04660698	C16orf53
cg04662451	RAD51
cg04662594	EPB49
cg04663194	ACTN3
cg04663487	TFEC
cg04667458	C1orf128
cg04672450	SAMD11
cg04676561	HIST1H1B
cg04677163	CAV1
cg04677227	LOXL4
cg04680304	RRM1
cg04682845	TMEM42
cg04683119	GUF1
cg04683240	HLX1
cg04684516	SNCAIP
cg04688368	KCNMA1
cg04689061	PKIA
cg04690289	EXOSC7
cg04691540	ABL2
cg04691961	C3orf57
cg04697119	IGSF8
cg04697562	GPC2
cg04697849	UTX
cg04698187	LRRN5
cg04700814	HEXIM1
cg04702490	GALNT2
cg04703844	RDH10
cg04705866	GZMK
cg04706338	VTN
cg04710641	RDBP
cg04711324	RIT2
cg04712892	NRAP
cg04713352	ATP4A
cg04716261	ARPM2
cg04717045	CCND1
cg04718306	GADD45A
cg04718342	CLPX
cg04718414	CDC16
cg04719491	HAS2
cg04719766	KCNQ1
cg04720358	RCV1
cg04721098	CACNG3
cg04722168	PAFAH2
cg04725234	TMEM38B
cg04726446	MGC16372
cg04727522	C18orf22
cg04730731	GEMIN5
cg04731091	WDR37
cg04731384	MGC3101
cg04732193	HSD11B1
cg04733302	TTC18
cg04733388	UBE1DC1
cg04733989	NAGA
cg04735237	TIMM17B
cg04735745	ZBED3
cg04736140	GPR161
cg04737046	ABCB4
cg04737319	HARS2
cg04738091	PTEN
cg04739149	DOC1
cg04739485	MLXIP
cg04740359	NTF3
cg04741133	LOC153684
cg04741636	DTX3L
cg04741821	TXNDC13
cg04743063	RTCD1
cg04744379	KLK15
cg04745698	UPF2
cg04745805	STAT5B
cg04747322	SNCAIP
cg04747510	MICA
cg04747619	DEFA5
cg04747863	PRPSAP2
cg04748010	POU6F2
cg04748704	CHRM2
cg04749104	STEAP3
cg04749372	INMT
cg04752565	LOC57228
cg04755031	PNPLA5
cg04757093	RUNX3
cg04757243	C3orf36
cg04757428	STMN3
cg04759439	CAST1
cg04759756	SLA2
cg04761824	40148
cg04762213	BAT2
cg04762346	EDG5
cg04763192	C1orf88
cg04764624	RAB11FIP4
cg04765277	FLJ45983
cg04765422	RAD18
cg04765675	CXorf15
cg04765929	TNFAIP8L1
cg04770504	DFNA5
cg04775502	C6orf114
cg04779191	CIRH1A
cg04780126	POLA2
cg04780454	SERPINF2
cg04780629	RNF43
cg04783231	ZFP28
cg04784315	GPR21
cg04784672	LRFN5
cg04785227	CHRNA7
cg04786857	SPDY1
cg04790829	LRRC54
cg04790936	SH3BP1
cg04794505	PBX3
cg04794887	LETM1
cg04794901	TCP1
cg04796162	IGFBP3
cg04797323	SOCS2
cg04797496	PCDH12
cg04798158	C14orf111
cg04798796	GLUD1
cg04799664	NOD27
cg04801003	ANTXR1
cg04802221	LOC283849
cg04802801	PPP1R11
cg04803153	MGC62100
cg04805109	CSPG5
cg04806409	TFF3
cg04808672	SMURF2
cg04809136	SF3B14
cg04809787	CHRNB1
cg04810997	TAS2R60
cg04811526	TIMM44
cg04815626	MSRA
cg04818845	PLEKHG5
cg04819539	METTL1
cg04820387	PCMTD2
cg04824341	CHCHD8
cg04824716	CCHCR1
cg04825431	ZNF239
cg04826883	CA12
cg04828792	MX2
cg04828892	PPM1J
cg04833050	LHFPL2
cg04833152	PURG
cg04833845	KCNN4
cg04834572	DUSP13
cg04835638	FHIT
cg04836038	DOCK9
cg04836786	SMARCA3
cg04837071	NOXA1
cg04837322	ROD1
cg04837898	SACM1L
cg04838107	ARF6
cg04845144	RTN2
cg04845579	SULF1
cg04848046	FNDC3B
cg04848452	EIF1B
cg04849025	YIPF2
cg04853151	C1orf83
cg04853383	C12orf49
cg04856043	HS1BP3
cg04856203	DMXL1
cg04856685	MAP4
cg04856689	CRHR1
cg04856858	CENTG2
cg04861271	PABPN1
cg04862249	ZFP3
cg04863713	TSRC1
cg04865575	YME1L1
cg04868764	SPINT1
cg04872689	PLEK
cg04875162	PABPC5
cg04875709	CDKN1B
cg04876451	PET112L
cg04878152	AGTR1
cg04878727	ZNF306
cg04878842	ERCC2
cg04879235	PPY
cg04879696	SPG7
cg04880063	SFXN3
cg04880762	VAMP1
cg04882759	MYOCD
cg04883450	HSA9761
cg04884122	PSMB5
cg04884732	MTERFD2
cg04884908	CYP26B1
cg04886198	ALG3
cg04887278	RWDD2
cg04891836	TNFSF14
cg04893119	PI15
cg04897683	NEUROG1
cg04898443	HDLBP
cg04898797	MAP4K2
cg04900486	RFX5
cg04902405	ZC3H11A
cg04905829	CYP27B1
cg04907257	ADCY2
cg04910299	MLL
cg04912050	IDUA
cg04912278	MRPL4
cg04914105	PTPN9
cg04914305	MRPL34
cg04915182	RASGEF1C
cg04915566	RUNX1
cg04916200	RIC8B
cg04916311	PQLC3
cg04916911	NTS
cg04916980	PCBD1
cg04920616	FOXP3
cg04920951	GSTP1
cg04922810	CRHR2
cg04922833	ZNF503
cg04925864	FAM65A
cg04926244	FLJ32894
cg04927982	SMCX
cg04929736	CLU
cg04929865	BGN
cg04936062	THRAP3
cg04936930	PTS
cg04940435	DNTTIP1
cg04940515	RABGGTB
cg04941721	EREG
cg04943986	NR2F2
cg04945541	FMNL1
cg04946535	CFL1
cg04946916	HUS1B
cg04947157	TMC6
cg04947578	C19orf10
cg04947838	ARFGEF1
cg04949741	EFEMP2
cg04950789	E2F5
cg04956382	MYOT
cg04956511	PTPN6
cg04956790	CAND1
cg04958703	SLC25A11
cg04959837	PLSCR4
cg04960271	PARP1
cg04960652	BNIP1
cg04960951	SUV420H2
cg04961553	OCIAD2
cg04964702	CBL
cg04968426	PPP1R14D
cg04968473	CYP1A2
cg04969808	WNT7A
cg04969878	TMEM19
cg04970117	SLC6A20
cg04970994	ZNF142
cg04972545	RFX3
cg04972979	C20orf54
cg04975920	TSPAN1
cg04979725	UNKL
cg04979933	INSL5
cg04981414	POMT1
cg04981492	SYDE1
cg04982748	HELB
cg04983977	GPR25
cg04984200	CTSD
cg04984513	BRI3BP
cg04985144	SPTBN2
cg04985146	MRPL12
cg04988423	ALX4
cg04988978	MPO
cg04991214	PFDN2
cg04991337	MCCC1
cg04992673	LOC253012
cg04993257	PLAC2
cg04994456	RNF186
cg04995095	CD300E
cg04995717	TEK
cg04996020	SLC26A3
cg04998282	NOL11
cg04999036	GANC
cg04999691	C7orf29
cg05000446	MGC41945
cg05001145	ELL2
cg05004940	C20orf195
cg05008406	B4GALT4
cg05010058	CEP68
cg05010623	ACVR1C
cg05010967	SPATS1
cg05011232	ETV4
cg05012785	U2AF1L2
cg05013695	FRAT1
cg05016508	FLRT1
cg05016953	SLC6A4
cg05018361	NSUN6
cg05019152	FAM82C
cg05019661	ADK
cg05022306	HOXC8
cg05023116	NALP5
cg05023691	RGS13
cg05024638	POLG
cg05026033	ELP3
cg05026186	ABLIM3
cg05027081	CDC7
cg05028306	LAP3
cg05029288	UGDH
cg05032550	C14orf2
cg05032943	SFRS4
cg05038053	ACP2
cg05038121	FAH
cg05038209	MAP1LC3B
cg05038977	EIF4A1
cg05040429	SAMD12
cg05040447	QP-C
cg05044994	FLJ42393
cg05045383	RAE1
cg05045528	GPR107
cg05045781	FHL3
cg05046097	SNCG
cg05050341	ENG
cg05051316	TMED1
cg05052633	CENTA2
cg05055150	MAG
cg05056120	EBF
cg05057057	DDX56
cg05058973	GHRHR
cg05059825	TTC9C
cg05060602	DCTD
cg05062178	ITGB5
cg05063104	SLC5A8
cg05064181	ABLIM1
cg05064352	PHF21B
cg05064673	PTPRU
cg05065037	ZCCHC6
cg05065690	DDX23
cg05069385	FKBPL
cg05071677	OR2V2
cg05072008	FIGNL1
cg05072951	CAPN1
cg05073035	ZIC1
cg05073845	FOXO1A
cg05076631	PGF
cg05078019	PDE6B
cg05079045	APBB1
cg05079794	IMPDH1
cg05086873	RIC8A
cg05086993	NOL9
cg05087948	CTSF
cg05088512	DKKL1
cg05089059	IMPDH1
cg05089968	MGC35308
cg05090725	RAB39
cg05091653	SP100
cg05093686	MAB21L1
cg05098471	MEIS1
cg05098732	FOXA3
cg05101920	KCNJ10
cg05102817	RBM18
cg05104081	KIAA0802
cg05105069	TCEAL7
cg05105913	XYLT2
cg05106502	SCAP1
cg05107152	KLC4
cg05109049	EVI2B
cg05111110	LRFN4
cg05111829	SUPV3L1
cg05112986	SUPT3H
cg05113558	FOXH1
cg05114625	CDC27
cg05116896	CD2BP2
cg05119831	PTPRN2
cg05120641	CHAC1
cg05120715	UGCG
cg05122605	MAEA
cg05125838	UCN2
cg05127380	STIP1
cg05129930	PFKL
cg05130485	CASP8
cg05131524	ADAM22
cg05134796	HNRPDL
cg05135156	C1orf21
cg05135288	RHOT2
cg05139924	LZTR1
cg05140736	SGSH
cg05141400	MAGEB4
cg05141870	CCDC55
cg05142115	C7orf24
cg05142373	FZD1
cg05144089	TOMM20
cg05146205	CUTL1
cg05146762	GTF2IRD1
cg05154390	MRPS15
cg05155595	ANXA4
cg05156613	ACTL7B
cg05158538	PPARGC1A
cg05158615	NPY
cg05159188	HIST1H4F
cg05159732	HCRT
cg05160935	THRAP6
cg05161795	ZDHHC3
cg05163057	LSM7
cg05163071	RETNLB
cg05163348	RPP30
cg05163588	LIMK1
cg05164185	CCND1
cg05164634	WNT10B
cg05165580	ADAT1
cg05170326	OACT5
cg05173789	RPLP0
cg05179880	PDCD7
cg05181279	RIG
cg05181565	SSU72
cg05184394	FLJ38377
cg05185584	KCNJ11
cg05186188	AQP8
cg05189291	ICF45
cg05190718	CASQ2
cg05191792	WRNIP1
cg05193832	KCNJ1
cg05194726	NRIP2
cg05200311	DEK
cg05200606	CCND1
cg05200628	CD48
cg05203877	SLC8A3
cg05205664	UCP2
cg05206661	FLJ33534
cg05208153	C9orf24
cg05208878	PRAME
cg05209917	CNTN6
cg05210526	PGM1
cg05213296	BXDC1
cg05215575	FLJ25410
cg05216141	ETV7
cg05217755	ERF
cg05218490	ORC4L
cg05219900	CREB3
cg05221167	ZNF560
cg05221264	ELA2A
cg05222924	WT1
cg05225390	ZW10
cg05225996	ZNF205
cg05226008	DLC1
cg05227963	RFC5
cg05228408	CLCN6
cg05229898	EGR1
cg05232067	BNIP3L
cg05232889	FOXP2
cg05236474	C17orf59
cg05237543	MTDH
cg05241571	UNQ467
cg05242523	KLK14
cg05242945	RPSA
cg05243804	FECH
cg05243815	STRAP
cg05243909	NTHL1
cg05244766	GSTP1
cg05245515	SLC39A2
cg05245861	C18orf34
cg05246522	KSR1
cg05248470	LILRB2
cg05248781	LCE5A
cg05249393	LDLR
cg05250458	ZNF177
cg05251000	FREQ
cg05252264	FCAR
cg05253159	APS
cg05253327	B3GNT1
cg05254747	SLC39A14
cg05256043	DCT
cg05257479	WARS2
cg05257610	PRO1853
cg05259765	PSCD4
cg05260966	TIMP3
cg05261289	STARD7
cg05261299	NR4A1
cg05261824	ZNF165
cg05262335	TAGAP
cg05263682	RNGTT
cg05266460	Rgr
cg05266781	IRX5
cg05270634	RND2
cg05275231	SLC25A32
cg05275752	GALM
cg05276137	SLC2A4RG
cg05279707	ADNP
cg05279864	ABCB4
cg05280555	CNOT10
cg05284724	FLJ12571
cg05286874	ABCA1
cg05287690	FBXW7
cg05288569	KLHL11
cg05288803	TIMP3
cg05289701	C12orf11
cg05290904	RBBP5
cg05291178	C3orf24
cg05292376	AATK
cg05293407	RFP
cg05294095	PSMD8
cg05294243	KLK13
cg05294455	MYL4
cg05300132	EXDL2
cg05301102	STX6
cg05301852	FABP1
cg05303448	AACS
cg05306006	RPE
cg05306176	FVT1
cg05306735	ZNF273
cg05307923	ADARB2
cg05308484	C12orf5
cg05308617	ARMC8
cg05310071	PIGL
cg05311623	ANXA5
cg05313261	MAPK3
cg05316065	MLZE
cg05318777	BBS7
cg05321960	KIAA0907
cg05322019	SEMA4G
cg05322222	MGC33486
cg05323436	LAMB2
cg05325699	HAP1
cg05330360	ZPBP2
cg05331214	SCN7A
cg05333568	C1orf65
cg05334239	CCDC32
cg05334253	NDEL1
cg05335315	JAG2
cg05337441	APOB
cg05337966	C13orf1
cg05338155	IFIT5
cg05338167	CALML4
cg05339305	DIPA
cg05339472	EIF1AX
cg05341115	HYAL4
cg05341670	C1orf83
cg05342835	SYNC1
cg05343453	LOC136263
cg05345286	MDFI
cg05346140	HSPB9
cg05346899	LASS4
cg05347567	ZC3H10
cg05348123	SCRG1
cg05348272	TBCD
cg05348870	TNFSF14
cg05352541	PITPNB
cg05354432	LEF1
cg05357320	ZNF317
cg05358291	CYP4F2
cg05358404	RTEL1
cg05360265	STXBP5
cg05361373	PYCARD
cg05361811	UTP20
cg05362516	IRX5
cg05362669	PTPRG
cg05365525	DEPDC6
cg05365670	AYTL2
cg05365729	LOXL2
cg05366401	TM9SF1
cg05367858	RNF141
cg05368089	PFDN5
cg05368341	SYT6
cg05368762	TEGT
cg05368942	RBM15
cg05369142	ALS2CL
cg05369166	NFASC
cg05373457	KCNS2
cg05375800	WDR31
cg05376895	PNMA3
cg05379350	GIT1
cg05380570	ARHGEF10L
cg05380910	STOML3
cg05380982	KCNJ6
cg05382123	CSMD2
cg05382565	TIGD6
cg05382730	EMG1
cg05384917	GPR109B
cg05385377	TMEM51
cg05386606	BCL7B
cg05388361	STAT2
cg05389024	KBTBD10
cg05389183	PPIC
cg05389335	TACR3
cg05392265	DIRAS3
cg05393484	OR6A2
cg05394497	FLJ13984
cg05395196	HSF2
cg05396987	FLJ30834
cg05399360	MICB
cg05399553	SNRPB
cg05399707	TRIP10
cg05401645	LOC162427
cg05402265	ICK
cg05403071	SNAI1
cg05404787	FLJ25102
cg05406101	C21orf6
cg05409038	TEX261
cg05409601	CCNG2
cg05411032	CLPTM1
cg05412136	CLTA
cg05412531	C8orf78
cg05413282	PRSS3
cg05414225	C9orf6
cg05414338	HIST1H3F
cg05417615	C4orf13
cg05417950	SPATA5
cg05417985	ENPP1
cg05418487	KCNQ1
cg05419984	PIGX
cg05420896	DCC
cg05421555	AKAP13
cg05421673	NOG
cg05421688	C1orf76
cg05421946	ABHD6
cg05423257	ALPI
cg05428978	CDCA7
cg05429895	TLR4
cg05432118	PRKAB1
cg05433460	ZNF408
cg05434957	ICA1
cg05435853	RNF41
cg05436231	CD164L2
cg05436658	PRKCB1
cg05439318	CYB5-M
cg05439368	RNF36
cg05440218	C8orf36
cg05440289	IVL
cg05441133	GDF2
cg05442902	P2RXL1
cg05443740	CSEN
cg05444024	FUT6
cg05445326	TM4SF19
cg05446471	HDAC11
cg05449607	C6orf51
cg05451974	C20orf35
cg05454446	BMS1L
cg05457411	DDX19A
cg05459203	NUDCD3
cg05463705	ZNF143
cg05465755	CKS2
cg05467106	ZNF689
cg05467167	GOSR2
cg05468303	DGCR6
cg05469695	CDC42EP3
cg05471297	RYR1
cg05471521	STK6
cg05471775	HIST1H4B
cg05472874	SULT4A1
cg05473175	IGSF4C
cg05473871	ADAMTSL5
cg05475028	FAM44A
cg05475277	FLJ23322
cg05475904	BCL10
cg05477024	KIAA1804
cg05477027	DMWD
cg05482722	UTP14C
cg05483509	ATP6V0C
cg05484458	GNB3
cg05484920	SNRP70
cg05485060	CTNNAL1
cg05485062	SERPINA12
cg05488632	ABHD9
cg05492113	TUB
cg05492270	RNF121
cg05492605	PPP1R8
cg05492845	VEGFB
cg05494069	PRKAA2
cg05497107	RUFY1
cg05497616	CAMK4
cg05498681	SRC
cg05499853	C10orf97
cg05500015	NAALAD2
cg05500074	TSKS
cg05501276	TRA2A
cg05501357	HIPK3
cg05501584	ST8SIA2
cg05501682	DKFZp686I15217
cg05501721	CRTC1
cg05503412	C4orf14
cg05507459	C9orf121
cg05507894	LOC201895
cg05508048	DDX26
cg05508067	PNPLA4
cg05508084	ZNF667
cg05508558	CR2
cg05510041	VCL
cg05512099	PLEKHF1
cg05512756	UGT3A1
cg05516537	TFDP1
cg05516832	SGTA
cg05517572	STAP2
cg05517711	ST6GALNAC6
cg05518543	MAEA
cg05522383	PITX2
cg05523047	VLDLR
cg05523085	MYO5A
cg05523254	MFN2
cg05526376	LMTK2
cg05528918	ZFP161
cg05529097	FXR2
cg05531055	TOM1
cg05532892	PSMA1
cg05538432	C1S
cg05546038	NOL3
cg05546044	MAPK1
cg05546383	OTUD4
cg05547500	TXNDC2
cg05547993	VAC14
cg05552534	ABCB10
cg05556020	REN
cg05556202	TM4SF19
cg05556210	ATBF1
cg05556717	CCL26
cg05558390	GNAS
cg05559445	CDKN1C
cg05562327	CPEB2
cg05562817	MGC33839
cg05564251	SP140
cg05564266	C6orf204
cg05565537	GALNT6
cg05566397	MLL5
cg05566965	BID
cg05568762	MLR1
cg05569220	FLJ44861
cg05570980	C3orf52
cg05573563	OFD1
cg05575043	ZNF394
cg05576974	UCHL5
cg05577173	PAPD4
cg05585544	C1QTNF4
cg05587736	NUP93
cg05589246	HOXC12
cg05590294	CD69
cg05590982	P8
cg05592398	LIMK1
cg05593325	GALNT12
cg05593479	TIGD1
cg05593780	PHF5A
cg05595345	ARRDC4
cg05596294	LPPR4
cg05596756	FAM113B
cg05598246	MOG
cg05600717	FLJ13639
cg05602212	ZFYVE16
cg05602615	SETD3
cg05603623	TIMM44
cg05604720	RIPK2
cg05606799	KISS1
cg05607127	KCNG3
cg05607401	GMFG
cg05607472	CSNK1A1
cg05608188	FLJ13576
cg05610148	C1orf93
cg05610379	C10orf86
cg05612904	DPH5
cg05615150	ARPP-21
cg05615487	ACR
cg05619712	CRYGC
cg05621401	RET
cg05624196	APOD
cg05624932	CRISPLD1
cg05626013	LRRTM3
cg05627103	KIAA1984
cg05628549	PRKCDBP
cg05633152	SLC10A1
cg05637351	CDH7
cg05637892	SCFD1
cg05641882	CXCL3
cg05641961	CIB1
cg05642698	SEC63
cg05646865	FLJ23878
cg05647526	CALU
cg05647859	LIN7A
cg05649009	CHRNA1
cg05650171	PFDN2
cg05650565	UBXD2
cg05650764	SAPS3
cg05654163	SLC39A2
cg05654164	C1orf52
cg05655041	ASB11
cg05655556	PSMD2
cg05656180	KCNQ1DN
cg05656364	VAMP8
cg05657090	RNASEH2A
cg05657520	OPTC
cg05658858	TUBGCP2
cg05659526	FCER1G
cg05659947	C4BPB
cg05660795	IGFBP1
cg05661333	GABBR1
cg05662500	GPD1L
cg05663262	HYI
cg05664072	PER2
cg05666713	DKFZp434B1231
cg05668720	TUBE1
cg05668853	RAB34
cg05669100	FAM103A1
cg05669210	SLC12A9
cg05670275	FBXO36
cg05670348	LARGE
cg05670408	MAN1C1
cg05670596	CCRL2
cg05671018	LYSMD2
cg05671350	P4HA3
cg05672265	SLC20A1
cg05674036	OR3A3
cg05674199	AHCY
cg05674944	SLC30A2
cg05675373	KCNC4
cg05677402	UBE2L6
cg05678175	TRIM28
cg05678938	USP13
cg05679521	MAP2K3
cg05679613	MEPE
cg05680424	BPGM
cg05681757	FGD4
cg05684015	DR1
cg05684195	CIDEC
cg05684891	DAB2IP
cg05688084	KIAA0090
cg05689121	TNRC6A
cg05695927	SPATA5L1
cg05696092	NOSIP
cg05697231	PML
cg05697249	C11orf52
cg05697976	MLSTD1
cg05698069	PDLIM2
cg05698090	CERK
cg05699592	PRKAR2A
cg05699806	ARSF
cg05700681	CCL22
cg05702633	PPP1R15B
cg05702737	WNT10A
cg05702952	PDK1
cg05705366	SNAG1
cg05705583	CAMLG
cg05706061	SLC31A2
cg05709923	SAMM50
cg05711886	MEG3
cg05714219	GALNT14
cg05714479	LATS2
cg05714729	GALNT1
cg05715287	CDC40
cg05715649	SYT2
cg05717160	USMG5
cg05718253	LOC55908
cg05718625	TMEM85
cg05719902	LOC136306
cg05720937	ACTR1B
cg05722552	NLGN1
cg05722918	SLC5A8
cg05723825	TEKT4
cg05724065	PHKG1
cg05725452	SDF2L1
cg05726109	GP1BB
cg05727959	C12orf48
cg05728656	C6orf47
cg05729093	IL4R
cg05730092	KIAA1446
cg05732130	FLJ13912
cg05732530	DUSP2
cg05739825	EI24
cg05741384	ODC1
cg05742308	SEMA3A
cg05743054	MLF1
cg05744229	MYH7
cg05745457	TKTL2
cg05745851	CCDC62
cg05747424	C14orf150
cg05749577	KIF23
cg05750321	CGNL1
cg05751148	PTPRCAP
cg05751159	TSGA14
cg05751979	TCEB1
cg05754589	CBX5
cg05754631	GAB1
cg05755354	FRMD4A
cg05755779	COLEC10
cg05755837	PMPCB
